,Text,Ground-Truth,Rank,All-Ranks,Prediction,Candidates,LR-distances,LD-distances,LRD-distances,LARD-distances
20,There is a yellow apple. It looks very tasty and is a decent size.,apple_1_5,0,[0 2 3 1 4],apple_1_5,['apple_1_5' 'banana_5_4' 'pliers_4_1' 'bowl_3_2' 'band_aid_2_4'],[0.26 0.52 0.71 0.57 0.93],[0.24 0.58 0.7  0.52 0.95],[0.25 0.55 0.71 0.55 0.94],[0.38 0.5  0.58 0.56 0.89]
21,An elegant teacup with flower designs.,coffee_mug_4_3,1,[1 0 3 4 2],mouse_3_3,['coffee_mug_4_3' 'mouse_3_3' 'marker_4_4' 'toothpaste_1_3' 'gauze_2_3'],[0.4  0.31 0.59 0.61 0.5 ],[0.51 0.45 0.52 0.51 0.48],[0.46 0.38 0.55 0.56 0.49],[0.51 0.43 0.55 0.57 0.57]
22,"This is an apple. Oddly, it is yellow in color.",apple_1_5,0,[0 1 4 2 3],apple_1_5,['apple_1_5' 'onion_4_4' 'band_aid_1_4' 'hand_towel_3_4' 'stapler_2_3'],[0.22 0.52 0.71 0.56 0.71],[0.19 0.38 0.86 0.67 0.63],[0.2  0.45 0.78 0.62 0.67],[0.3  0.45 0.63 0.57 0.59]
23,This is a porcelain mug with a floral design.,coffee_mug_4_3,0,[0 3 2 4 1],coffee_mug_4_3,"['coffee_mug_4_3' 'measuring_tape_3_4' 'fork_2_3' 'scissors_2_1'
 'hammer_6_2']",[0.42 0.59 0.54 0.84 0.48],[0.53 0.72 0.63 0.74 0.58],[0.48 0.65 0.59 0.79 0.53],[0.42 0.57 0.54 0.73 0.53]
24,a yellow apple,apple_1_5,0,[0 4 3 1 2],apple_1_5,['apple_1_5' 'shampoo_2_2' 'toothbrush_4_1' 'lime_2_3' 'can_opener_1_4'],[0.22 0.73 0.66 0.4  0.62],[0.17 0.78 0.66 0.46 0.63],[0.19 0.76 0.66 0.43 0.62],[0.23 0.72 0.65 0.42 0.62]
25,a decorative tea cup,coffee_mug_4_3,0,[0 2 1 3 4],coffee_mug_4_3,['coffee_mug_4_3' 'can_opener_4_4' 'stapler_3_2' 'spoon_5_4' 'gauze_1_1'],[0.4  0.75 0.66 0.78 0.8 ],[0.6  0.68 0.67 0.72 0.76],[0.5  0.71 0.67 0.75 0.78],[0.47 0.65 0.61 0.71 0.77]
26,"On the turntable is a yellow apple, perhaps a Golden Delicious variety.",apple_1_5,0,[0 4 2 1 3],apple_1_5,['apple_1_5' 'toothpaste_3_4' 'syringe_5_1' 'allen_wrench_2_3' 'spoon_4_2'],[0.3  0.79 0.7  0.49 0.74],[0.29 0.7  0.65 0.48 0.67],[0.3  0.75 0.68 0.49 0.71],[0.46 0.68 0.64 0.48 0.67]
27,"On the turntable is a cup or vase that looks like it's made of porcelain and decorated with a colorful floral pattern, possibly Polish or Russian style.",coffee_mug_4_3,0,[0 2 3 4 1],coffee_mug_4_3,"['coffee_mug_4_3' 'toothpaste_3_1' 'flashlight_1_3' 'syringe_1_1'
 'picture_frame_5_1']",[0.44 0.52 0.54 0.63 0.53],[0.45 0.58 0.63 0.57 0.48],[0.45 0.55 0.58 0.6  0.51],[0.49 0.57 0.57 0.61 0.54]
28,On the table is a yellow apple. it has a brown stem on top and a flat bottom.,apple_1_5,0,[0 1 3 2 4],apple_1_5,['apple_1_5' 'eye_glasses_4_2' 'marker_5_2' 'hammer_6_2' 'toothpaste_3_1'],[0.23 0.66 0.77 0.59 0.71],[0.18 0.6  0.61 0.68 0.76],[0.21 0.63 0.69 0.64 0.74],[0.22 0.72 0.68 0.62 0.72]
29,On the table is a white and colorful mug. It has colorful flowers and a blue stripe on the bottom.,coffee_mug_4_3,0,[0 2 3 4 1],coffee_mug_4_3,"['coffee_mug_4_3' 'lightbulb_3_3' 'potato_2_1' 'measuring_tape_4_1'
 'soda_bottle_2_4']",[0.44 0.51 0.57 0.53 0.49],[0.5  0.49 0.6  0.66 0.47],[0.47 0.5  0.58 0.6  0.48],[0.43 0.48 0.62 0.6  0.44]
30,A yellow green apple.,apple_1_5,0,[0 4 1 2 3],apple_1_5,['apple_1_5' 'book_1_4' 'onion_2_1' 'marker_2_1' 'stapler_2_1'],[0.18 0.73 0.5  0.62 0.72],[0.14 0.79 0.58 0.69 0.65],[0.16 0.76 0.54 0.65 0.68],[0.21 0.81 0.52 0.71 0.7 ]
31,A floral design tea cup with a blue rim on the top and the bottom.,coffee_mug_4_3,1,[1 2 0 4 3],soda_bottle_2_4,"['coffee_mug_4_3' 'potato_1_1' 'soda_bottle_2_4' 'stapler_5_4'
 'hammer_6_2']",[0.47 0.61 0.38 0.77 0.53],[0.57 0.55 0.36 0.62 0.73],[0.52 0.58 0.37 0.69 0.63],[0.42 0.55 0.47 0.67 0.55]
32,The object is a yellow apple.,apple_1_5,0,[0 1 4 2 3],apple_1_5,"['apple_1_5' 'onion_4_4' 'measuring_tape_3_4' 'coffee_mug_5_1'
 'hammer_3_2']",[0.19 0.53 0.59 0.54 0.68],[0.14 0.36 0.78 0.56 0.67],[0.17 0.45 0.68 0.55 0.67],[0.24 0.45 0.63 0.51 0.7 ]
33,The object is a vase.  It is white with floral designs and blue trim.,coffee_mug_4_3,1,[1 3 4 2 0],pliers_1_3,['coffee_mug_4_3' 'flashlight_1_3' 'spoon_5_4' 'onion_4_4' 'pliers_1_3'],[0.5  0.57 0.62 0.48 0.52],[0.5  0.59 0.64 0.58 0.4 ],[0.5  0.58 0.63 0.53 0.46],[0.48 0.63 0.56 0.49 0.51]
34,It is a yellow apple.,apple_1_5,0,[0 2 1 4 3],apple_1_5,"['apple_1_5' 'hammer_3_3' 'lightbulb_2_4' 'soda_bottle_4_3'
 'picture_frame_5_1']",[0.21 0.61 0.62 0.66 0.64],[0.16 0.67 0.53 0.67 0.66],[0.18 0.64 0.57 0.66 0.65],[0.29 0.55 0.55 0.61 0.59]
35,It is a white/blue porcelain mug with flower designs.,coffee_mug_4_3,0,[0 1 4 3 2],coffee_mug_4_3,['coffee_mug_4_3' 'gauze_2_2' 'banana_4_1' 'banana_5_4' 'toothpaste_3_1'],[0.43 0.57 0.78 0.73 0.65],[0.53 0.51 0.79 0.73 0.7 ],[0.48 0.54 0.79 0.73 0.68],[0.5  0.51 0.72 0.62 0.55]
36,its contain rich in vitamins and fiber.,apple_1_5,0,[0 4 1 3 2],apple_1_5,['apple_1_5' 'picture_frame_2_1' 'potato_5_1' 'bowl_3_2' 'banana_2_3'],[0.36 0.73 0.42 0.62 0.38],[0.35 0.7  0.4  0.54 0.5 ],[0.36 0.71 0.41 0.58 0.44],[0.4  0.63 0.51 0.51 0.42]
37,use as drink coffee or tea.,coffee_mug_4_3,0,[0 3 2 4 1],coffee_mug_4_3,"['coffee_mug_4_3' 'band_aid_4_2' 'lime_2_3' 'syringe_5_3'
 'picture_frame_4_4']",[0.39 0.94 0.8  0.85 0.51],[0.54 0.6  0.62 0.79 0.66],[0.46 0.77 0.71 0.82 0.59],[0.45 0.74 0.64 0.8  0.62]
38,A yellow apple.,apple_1_5,0,[0 3 4 2 1],apple_1_5,['apple_1_5' 'measuring_tape_5_1' 'toothpaste_1_3' 'onion_5_1' 'lemon_1_4'],[0.18 0.64 0.9  0.55 0.48],[0.13 0.69 0.69 0.65 0.54],[0.16 0.66 0.8  0.6  0.51],[0.3  0.62 0.77 0.49 0.42]
39,A tea cup with flower designs.,coffee_mug_4_3,0,[0 2 1 4 3],coffee_mug_4_3,"['coffee_mug_4_3' 'screwdriver_1_3' 'bowl_4_2' 'potato_3_4'
 'toothbrush_4_1']",[0.41 0.79 0.6  0.74 0.7 ],[0.57 0.62 0.49 0.83 0.72],[0.49 0.7  0.55 0.78 0.71],[0.5  0.7  0.54 0.71 0.69]
40,this is a light bulb. screw it in a flip the switch,lightbulb_2_2,0,[0 4 2 3 1],lightbulb_2_2,['lightbulb_2_2' 'gauze_2_3' 'scissors_5_1' 'cell_phone_1_2' 'banana_4_1'],[0.45 0.85 0.61 0.69 0.58],[0.61 0.76 0.68 0.71 0.57],[0.53 0.8  0.65 0.7  0.57],[0.57 0.72 0.51 0.64 0.62]
41,this is a hex driver. it is used to unscrew or tighten screws.,allen_wrench_4_3,0,[0 3 2 4 1],allen_wrench_4_3,"['allen_wrench_4_3' 'prescription_medicine_bottle_2_4' 'food_jar_3_1'
 'apple_3_4' 'measuring_tape_1_1']",[0.37 0.61 0.63 0.72 0.63],[0.34 0.63 0.6  0.76 0.42],[0.36 0.62 0.62 0.74 0.53],[0.39 0.63 0.61 0.57 0.51]
42,"This is an environmentally friendly, long-lasting light bulb.",lightbulb_2_2,1,[1 0 4 3 2],prescription_medicine_bottle_3_4,"['lightbulb_2_2' 'prescription_medicine_bottle_3_4' 'pencil_1_1'
 'hand_towel_1_4' 'marker_2_1']",[0.44 0.48 0.65 0.61 0.54],[0.61 0.48 0.6  0.52 0.54],[0.52 0.48 0.63 0.57 0.54],[0.49 0.47 0.6  0.52 0.49]
43,This is a small L wrench.,allen_wrench_4_3,0,[0 4 2 3 1],allen_wrench_4_3,"['allen_wrench_4_3' 'lightbulb_3_3' 'can_opener_4_4' 'bell_pepper_5_1'
 'toothbrush_1_1']",[0.26 0.63 0.55 0.72 0.42],[0.36 0.72 0.59 0.61 0.46],[0.31 0.68 0.57 0.66 0.44],[0.43 0.59 0.52 0.64 0.59]
44,This is a lightbulb,lightbulb_2_2,2,[2 3 4 1 0],medicine_bottle_2_4,"['lightbulb_2_2' 'cell_phone_1_2' 'notebook_2_4' 'stapler_3_2'
 'medicine_bottle_2_4']",[0.52 0.65 0.67 0.48 0.43],[0.63 0.68 0.79 0.51 0.47],[0.57 0.66 0.73 0.49 0.45],[0.6  0.68 0.74 0.49 0.43]
45,This is a jam buster wrench,allen_wrench_4_3,0,[0 2 4 3 1],allen_wrench_4_3,"['allen_wrench_4_3' 'syringe_3_1' 'soda_bottle_4_1' 'flashlight_2_1'
 'eye_glasses_4_1']",[0.28 0.48 0.59 0.43 0.47],[0.34 0.51 0.56 0.63 0.43],[0.31 0.49 0.57 0.53 0.45],[0.33 0.47 0.57 0.54 0.45]
46,This is a light bulb which lights up a room.,lightbulb_2_2,3,[3 1 0 4 2],plate_1_2,['lightbulb_2_2' 'eye_glasses_3_4' 'plate_1_2' 'pencil_3_4' 'mouse_1_1'],[0.56 0.53 0.44 0.67 0.54],[0.69 0.56 0.45 0.7  0.56],[0.63 0.54 0.44 0.69 0.55],[0.55 0.49 0.49 0.51 0.5 ]
47,This is a tool which tightens objects.,allen_wrench_4_3,0,[0 4 2 1 3],allen_wrench_4_3,"['allen_wrench_4_3' 'soda_bottle_2_4' 'food_can_4_3' 'book_3_1'
 'plate_4_2']",[0.39 0.73 0.7  0.61 0.74],[0.48 0.71 0.63 0.62 0.67],[0.44 0.72 0.66 0.62 0.71],[0.38 0.76 0.7  0.69 0.77]
48,This object is an LED bulb,lightbulb_2_2,3,[3 1 4 2 0],lemon_1_4,['lightbulb_2_2' 'medicine_bottle_4_2' 'gauze_2_3' 'mouse_3_3' 'lemon_1_4'],[0.53 0.56 0.81 0.56 0.57],[0.64 0.51 0.7  0.52 0.45],[0.59 0.54 0.75 0.54 0.51],[0.48 0.47 0.72 0.52 0.49]
49,"This object is a medium, black allen wrench.",allen_wrench_4_3,0,[0 2 1 4 3],allen_wrench_4_3,"['allen_wrench_4_3' 'apple_1_5' 'measuring_tape_3_4' 'book_5_4'
 'toothpaste_3_4']",[0.28 0.55 0.46 0.73 0.65],[0.37 0.57 0.54 0.64 0.53],[0.33 0.56 0.5  0.68 0.59],[0.3  0.58 0.48 0.66 0.55]
50,It is a white lightbulb,lightbulb_2_2,0,[0 2 4 1 3],lightbulb_2_2,"['lightbulb_2_2' 'shampoo_1_2' 'notebook_1_1' 'scissors_3_3'
 'toothpaste_2_4']",[0.49 0.49 0.72 0.52 0.77],[0.66 0.76 0.68 0.7  0.58],[0.58 0.62 0.7  0.61 0.67],[0.51 0.52 0.58 0.56 0.62]
51,It is an irregular screw driver,allen_wrench_4_3,0,[0 3 4 2 1],allen_wrench_4_3,['allen_wrench_4_3' 'cap_1_2' 'lightbulb_1_4' 'mouse_2_3' 'shampoo_1_2'],[0.39 0.65 0.75 0.56 0.55],[0.39 0.66 0.59 0.6  0.4 ],[0.39 0.66 0.67 0.58 0.47],[0.34 0.72 0.7  0.65 0.54]
52,A CFL light bulb. It is white with a silver base.,lightbulb_2_2,3,[3 4 0 1 2],pliers_1_3,['lightbulb_2_2' 'food_can_2_1' 'pliers_1_3' 'flashlight_2_1' 'lime_2_3'],[0.62 0.66 0.56 0.71 0.65],[0.71 0.69 0.56 0.46 0.6 ],[0.66 0.67 0.56 0.59 0.63],[0.64 0.61 0.51 0.55 0.49]
53,A heat treated medium sized allen key.,allen_wrench_4_3,0,[0 1 2 3 4],allen_wrench_4_3,"['allen_wrench_4_3' 'toothpaste_4_2' 'toothpaste_2_4' 'can_opener_3_4'
 'scissors_1_3']",[0.42 0.45 0.59 0.54 0.54],[0.41 0.52 0.45 0.52 0.58],[0.41 0.48 0.52 0.53 0.56],[0.43 0.56 0.6  0.52 0.65]
54,a lightbulb,lightbulb_2_2,2,[2 4 0 1 3],stapler_3_2,['lightbulb_2_2' 'fork_3_4' 'stapler_3_2' 'water_bottle_3_3' 'mouse_3_3'],[0.47 0.73 0.48 0.51 0.63],[0.62 0.66 0.49 0.49 0.55],[0.54 0.69 0.49 0.5  0.59],[0.56 0.64 0.5  0.48 0.56]
55,an allen wrench,allen_wrench_4_3,0,[0 3 1 2 4],allen_wrench_4_3,['allen_wrench_4_3' 'spoon_3_3' 'hammer_5_1' 'notebook_2_4' 'stapler_3_2'],[0.29 0.55 0.4  0.54 0.6 ],[0.34 0.61 0.51 0.39 0.61],[0.32 0.58 0.46 0.47 0.6 ],[0.42 0.57 0.41 0.46 0.5 ]
56,"this is a larger lightbulb, slimmer in the center and then wider bulb shaping towards the end with a slight shade difference",lightbulb_2_2,1,[1 2 0 4 3],cap_1_2,['lightbulb_2_2' 'stapler_2_3' 'cap_1_2' 'hammer_2_4' 'spoon_3_3'],[0.55 0.65 0.52 0.73 0.66],[0.69 0.68 0.51 0.73 0.74],[0.62 0.66 0.51 0.73 0.7 ],[0.51 0.57 0.51 0.64 0.57]
57,a black L shaped tool used for loosening or tightening objects,allen_wrench_4_3,1,[1 3 4 2 0],eye_glasses_2_1,"['allen_wrench_4_3' 'eye_glasses_4_2' 'potato_2_1' 'picture_frame_5_3'
 'eye_glasses_2_1']",[0.39 0.53 0.91 0.55 0.32],[0.53 0.62 0.72 0.58 0.48],[0.46 0.57 0.81 0.56 0.4 ],[0.46 0.48 0.69 0.48 0.37]
58,this item is white and it is bulbous.,lightbulb_2_2,0,[0 3 4 2 1],lightbulb_2_2,"['lightbulb_2_2' 'eye_glasses_4_2' 'band_aid_1_4' 'coffee_mug_1_1'
 'band_aid_4_2']",[0.47 0.65 0.53 0.56 0.57],[0.54 0.55 0.68 0.61 0.51],[0.51 0.6  0.6  0.59 0.54],[0.52 0.62 0.63 0.59 0.63]
59,this item is very small and is shaped in an L formation.,allen_wrench_4_3,0,[0 1 3 4 2],allen_wrench_4_3,"['allen_wrench_4_3' 'measuring_tape_5_1' 'toothbrush_3_3'
 'picture_frame_4_2' 'water_bottle_2_3']",[0.41 0.47 0.54 0.61 0.48],[0.39 0.46 0.55 0.55 0.58],[0.4  0.47 0.55 0.58 0.53],[0.35 0.41 0.45 0.6  0.59]
60,"A tin can, probably food related, turned to the side so the front label isn't visible. The label is light brown, resembling a wood cutting board with a large box of text on the back side.",food_can_3_3,0,[0 3 2 4 1],food_can_3_3,"['food_can_3_3' 'tissue_box_1_3' 'prescription_medicine_bottle_3_3'
 'can_opener_3_4' 'bell_pepper_2_2']",[0.26 0.51 0.51 0.62 0.36],[0.26 0.54 0.47 0.55 0.42],[0.26 0.52 0.49 0.59 0.39],[0.23 0.62 0.45 0.61 0.45]
61,"A small prescription bottle. It's the typical kind of opaque orange color, with a while lable, black ink and white cap.",prescription_medicine_bottle_2_4,0,[0 4 1 2 3],prescription_medicine_bottle_2_4,"['prescription_medicine_bottle_2_4' 'plate_3_4' 'allen_wrench_4_3'
 'onion_4_4' 'banana_3_4']",[0.18 0.67 0.48 0.47 0.72],[0.19 0.72 0.36 0.59 0.64],[0.19 0.7  0.42 0.53 0.68],[0.28 0.61 0.39 0.48 0.58]
62,This is a canned food product,food_can_3_3,0,[0 3 1 2 4],food_can_3_3,"['food_can_3_3' 'eye_glasses_1_2' 'medicine_bottle_4_2' 'pencil_2_1'
 'plate_3_4']",[0.22 0.65 0.42 0.49 0.71],[0.23 0.6  0.46 0.66 0.64],[0.22 0.62 0.44 0.57 0.68],[0.32 0.63 0.45 0.48 0.61]
63,This is prescription pill bottle,prescription_medicine_bottle_2_4,0,[0 4 1 2 3],prescription_medicine_bottle_2_4,"['prescription_medicine_bottle_2_4' 'screwdriver_4_3'
 'medicine_bottle_5_2' 'band_aid_1_4' 'bell_pepper_4_3']",[0.12 0.72 0.35 0.3  0.5 ],[0.12 0.5  0.35 0.47 0.66],[0.12 0.61 0.35 0.39 0.58],[0.23 0.54 0.42 0.46 0.56]
64,A steel can with a light brown label.,food_can_3_3,4,[4 1 3 2 0],eye_glasses_4_1,"['food_can_3_3' 'scissors_5_1' 'eye_glasses_3_4' 'lemon_2_4'
 'eye_glasses_4_1']",[0.59 0.5  0.56 0.52 0.46],[0.62 0.51 0.51 0.52 0.49],[0.6  0.51 0.53 0.52 0.47],[0.46 0.49 0.52 0.56 0.47]
65,An orange and white prescription bottle.,prescription_medicine_bottle_2_4,4,[4 0 3 1 2],banana_5_4,"['prescription_medicine_bottle_2_4' 'banana_5_4' 'scissors_3_3'
 'onion_3_4' 'toothpaste_3_4']",[0.57 0.46 0.51 0.51 0.53],[0.57 0.49 0.57 0.54 0.52],[0.57 0.48 0.54 0.53 0.53],[0.47 0.43 0.55 0.49 0.52]
66,This is canned food with a tan label.,food_can_3_3,1,[1 3 4 2 0],shampoo_4_2,['food_can_3_3' 'onion_5_1' 'onion_5_1' 'measuring_tape_5_1' 'shampoo_4_2'],[0.5  0.6  0.6  0.58 0.5 ],[0.53 0.59 0.59 0.55 0.49],[0.51 0.6  0.6  0.56 0.49],[0.55 0.66 0.66 0.44 0.56]
67,This pill bottle is orange. It contains pills and has a white cap and label on the side.,prescription_medicine_bottle_2_4,0,[0 3 2 1 4],prescription_medicine_bottle_2_4,"['prescription_medicine_bottle_2_4' 'mouse_2_3' 'marker_1_2' 'potato_2_1'
 'hammer_2_4']",[0.42 0.56 0.64 0.53 0.63],[0.42 0.59 0.46 0.5  0.55],[0.42 0.58 0.55 0.52 0.59],[0.37 0.69 0.53 0.54 0.58]
68,A can with a brown label on it.,food_can_3_3,0,[0 3 2 1 4],food_can_3_3,"['food_can_3_3' 'measuring_tape_1_1' 'medicine_bottle_4_2' 'stapler_3_2'
 'spoon_5_4']",[0.47 0.55 0.55 0.49 0.59],[0.5  0.6  0.55 0.55 0.56],[0.48 0.57 0.55 0.52 0.58],[0.37 0.57 0.47 0.48 0.58]
69,A pill bottle with the details marked out.,prescription_medicine_bottle_2_4,4,[4 1 3 0 2],food_can_2_1,"['prescription_medicine_bottle_2_4' 'water_bottle_4_1' 'eye_glasses_2_3'
 'food_can_2_1' 'can_opener_3_4']",[0.52 0.49 0.56 0.46 0.55],[0.53 0.46 0.47 0.47 0.47],[0.52 0.48 0.52 0.47 0.51],[0.57 0.52 0.48 0.4  0.49]
70,This is a jar of canned goods.,food_can_3_3,2,[2 3 4 0 1],food_jar_5_2,"['food_can_3_3' 'picture_frame_5_1' 'book_1_4' 'food_jar_5_2'
 'picture_frame_3_1']",[0.5  0.58 0.57 0.45 0.56],[0.52 0.55 0.56 0.45 0.45],[0.51 0.57 0.57 0.45 0.51],[0.46 0.55 0.61 0.39 0.52]
