,Text,Ground-Truth,Rank,All-Ranks,Prediction,Candidates,LR-distances,LD-distances,LRD-distances,ARD-distances,LARD-distances
33,The object is a vase.  It is white with floral designs and blue trim.,coffee_mug_4_3,1,[1 3 2 4 0],pliers_1_3,['coffee_mug_4_3' 'flashlight_1_3' 'spoon_5_4' 'onion_4_4' 'pliers_1_3'],[0.36 0.42 0.39 0.46 0.38],[0.38 0.51 0.44 0.47 0.34],[0.37 0.46 0.41 0.47 0.36],[0.27 0.47 0.34 0.3  0.38],[0.32 0.47 0.38 0.38 0.37]
34,It is a yellow apple.,apple_1_5,0,[0 2 1 3 4],apple_1_5,"['apple_1_5' 'hammer_3_3' 'lightbulb_2_4' 'soda_bottle_4_3'
 'picture_frame_5_1']",[0.12 0.51 0.52 0.55 0.58],[0.09 0.51 0.46 0.53 0.55],[0.11 0.51 0.49 0.54 0.57],[0.5  0.41 0.44 0.56 0.42],[0.3  0.46 0.46 0.55 0.49]
35,It is a white/blue porcelain mug with flower designs.,coffee_mug_4_3,0,[0 1 4 3 2],coffee_mug_4_3,['coffee_mug_4_3' 'gauze_2_2' 'banana_4_1' 'banana_5_4' 'toothpaste_3_1'],[0.29 0.47 0.55 0.53 0.47],[0.36 0.43 0.56 0.52 0.5 ],[0.32 0.45 0.56 0.53 0.49],[0.31 0.4  0.47 0.4  0.37],[0.32 0.43 0.52 0.46 0.43]
36,its contain rich in vitamins and fiber.,apple_1_5,0,[0 4 1 3 2],apple_1_5,['apple_1_5' 'picture_frame_2_1' 'potato_5_1' 'bowl_3_2' 'banana_2_3'],[0.33 0.55 0.34 0.42 0.32],[0.33 0.5  0.34 0.37 0.4 ],[0.33 0.53 0.34 0.4  0.36],[0.35 0.42 0.54 0.39 0.35],[0.34 0.47 0.44 0.39 0.35]
37,use as drink coffee or tea.,coffee_mug_4_3,0,[0 4 1 3 2],coffee_mug_4_3,"['coffee_mug_4_3' 'band_aid_4_2' 'lime_2_3' 'syringe_5_3'
 'picture_frame_4_4']",[0.28 0.67 0.45 0.62 0.45],[0.41 0.55 0.42 0.57 0.51],[0.34 0.61 0.43 0.59 0.48],[0.32 0.57 0.52 0.51 0.49],[0.33 0.59 0.48 0.55 0.48]
38,A yellow apple.,apple_1_5,0,[0 3 4 2 1],apple_1_5,['apple_1_5' 'measuring_tape_5_1' 'toothpaste_1_3' 'onion_5_1' 'lemon_1_4'],[0.12 0.53 0.76 0.37 0.28],[0.08 0.58 0.57 0.47 0.33],[0.1  0.55 0.66 0.42 0.31],[0.29 0.44 0.57 0.34 0.18],[0.2  0.49 0.61 0.38 0.24]
39,A tea cup with flower designs.,coffee_mug_4_3,0,[0 2 1 4 3],coffee_mug_4_3,"['coffee_mug_4_3' 'screwdriver_1_3' 'bowl_4_2' 'potato_3_4'
 'toothbrush_4_1']",[0.29 0.51 0.43 0.52 0.5 ],[0.38 0.49 0.36 0.57 0.51],[0.34 0.5  0.39 0.54 0.51],[0.3  0.41 0.49 0.5  0.4 ],[0.32 0.45 0.44 0.52 0.45]
40,this is a light bulb. screw it in a flip the switch,lightbulb_2_2,2,[2 3 1 4 0],banana_4_1,['lightbulb_2_2' 'gauze_2_3' 'scissors_5_1' 'cell_phone_1_2' 'banana_4_1'],[0.52 0.7  0.51 0.65 0.46],[0.62 0.53 0.52 0.65 0.42],[0.57 0.62 0.51 0.65 0.44],[0.58 0.52 0.31 0.57 0.46],[0.58 0.57 0.41 0.61 0.45]
41,this is a hex driver. it is used to unscrew or tighten screws.,allen_wrench_4_3,1,[1 3 2 4 0],measuring_tape_1_1,"['allen_wrench_4_3' 'prescription_medicine_bottle_2_4' 'food_jar_3_1'
 'apple_3_4' 'measuring_tape_1_1']",[0.37 0.51 0.46 0.58 0.49],[0.41 0.54 0.43 0.59 0.28],[0.39 0.53 0.45 0.59 0.39],[0.41 0.5  0.65 0.28 0.41],[0.4  0.51 0.55 0.44 0.4 ]
42,"This is an environmentally friendly, long-lasting light bulb.",lightbulb_2_2,0,[0 4 3 1 2],lightbulb_2_2,"['lightbulb_2_2' 'prescription_medicine_bottle_3_4' 'pencil_1_1'
 'hand_towel_1_4' 'marker_2_1']",[0.38 0.49 0.51 0.43 0.5 ],[0.47 0.51 0.47 0.43 0.4 ],[0.42 0.5  0.49 0.43 0.45],[0.26 0.52 0.61 0.45 0.54],[0.34 0.51 0.55 0.44 0.5 ]
43,This is a small L wrench.,allen_wrench_4_3,0,[0 3 2 4 1],allen_wrench_4_3,"['allen_wrench_4_3' 'lightbulb_3_3' 'can_opener_4_4' 'bell_pepper_5_1'
 'toothbrush_1_1']",[0.25 0.52 0.51 0.61 0.36],[0.34 0.62 0.4  0.59 0.36],[0.29 0.57 0.46 0.6  0.36],[0.46 0.53 0.33 0.58 0.54],[0.38 0.55 0.4  0.59 0.45]
44,This is a lightbulb,lightbulb_2_2,2,[2 3 4 0 1],stapler_3_2,"['lightbulb_2_2' 'cell_phone_1_2' 'notebook_2_4' 'stapler_3_2'
 'medicine_bottle_2_4']",[0.47 0.57 0.52 0.38 0.46],[0.52 0.6  0.66 0.32 0.43],[0.5  0.58 0.59 0.35 0.44],[0.43 0.55 0.57 0.43 0.33],[0.46 0.57 0.58 0.39 0.38]
45,This is a jam buster wrench,allen_wrench_4_3,0,[0 3 4 2 1],allen_wrench_4_3,"['allen_wrench_4_3' 'syringe_3_1' 'soda_bottle_4_1' 'flashlight_2_1'
 'eye_glasses_4_1']",[0.32 0.5  0.55 0.44 0.46],[0.42 0.57 0.55 0.48 0.47],[0.37 0.53 0.55 0.46 0.46],[0.39 0.38 0.52 0.42 0.41],[0.38 0.46 0.53 0.44 0.43]
46,This is a light bulb which lights up a room.,lightbulb_2_2,3,[3 2 0 4 1],plate_1_2,['lightbulb_2_2' 'eye_glasses_3_4' 'plate_1_2' 'pencil_3_4' 'mouse_1_1'],[0.5  0.5  0.4  0.66 0.45],[0.57 0.47 0.4  0.64 0.44],[0.53 0.48 0.4  0.65 0.45],[0.37 0.44 0.56 0.36 0.52],[0.45 0.46 0.48 0.5  0.48]
47,This is a tool which tightens objects.,allen_wrench_4_3,0,[0 4 3 2 1],allen_wrench_4_3,"['allen_wrench_4_3' 'soda_bottle_2_4' 'food_can_4_3' 'book_3_1'
 'plate_4_2']",[0.28 0.63 0.55 0.51 0.52],[0.33 0.62 0.54 0.53 0.49],[0.3  0.63 0.55 0.52 0.5 ],[0.32 0.66 0.57 0.72 0.61],[0.31 0.64 0.56 0.62 0.56]
48,This object is an LED bulb,lightbulb_2_2,2,[2 3 4 0 1],mouse_3_3,['lightbulb_2_2' 'medicine_bottle_4_2' 'gauze_2_3' 'mouse_3_3' 'lemon_1_4'],[0.41 0.47 0.65 0.32 0.47],[0.49 0.46 0.5  0.44 0.38],[0.45 0.46 0.57 0.38 0.43],[0.26 0.28 0.46 0.35 0.46],[0.36 0.37 0.52 0.37 0.44]
49,"This object is a medium, black allen wrench.",allen_wrench_4_3,0,[0 2 1 4 3],allen_wrench_4_3,"['allen_wrench_4_3' 'apple_1_5' 'measuring_tape_3_4' 'book_5_4'
 'toothpaste_3_4']",[0.25 0.38 0.31 0.56 0.54],[0.33 0.43 0.43 0.5  0.49],[0.29 0.41 0.37 0.53 0.52],[0.27 0.54 0.47 0.47 0.39],[0.28 0.47 0.42 0.5  0.45]
50,It is a white lightbulb,lightbulb_2_2,2,[2 3 4 1 0],toothpaste_2_4,"['lightbulb_2_2' 'shampoo_1_2' 'notebook_1_1' 'scissors_3_3'
 'toothpaste_2_4']",[0.47 0.49 0.54 0.47 0.51],[0.55 0.62 0.61 0.54 0.42],[0.51 0.56 0.58 0.51 0.46],[0.33 0.35 0.4  0.48 0.41],[0.42 0.45 0.49 0.49 0.44]
51,It is an irregular screw driver,allen_wrench_4_3,0,[0 4 1 3 2],allen_wrench_4_3,['allen_wrench_4_3' 'cap_1_2' 'lightbulb_1_4' 'mouse_2_3' 'shampoo_1_2'],[0.39 0.48 0.45 0.43 0.44],[0.37 0.62 0.4  0.56 0.42],[0.38 0.55 0.42 0.49 0.43],[0.28 0.52 0.61 0.47 0.65],[0.33 0.54 0.51 0.48 0.54]
52,A CFL light bulb. It is white with a silver base.,lightbulb_2_2,2,[2 3 1 0 4],flashlight_2_1,['lightbulb_2_2' 'food_can_2_1' 'pliers_1_3' 'flashlight_2_1' 'lime_2_3'],[0.47 0.49 0.46 0.47 0.54],[0.52 0.5  0.49 0.38 0.5 ],[0.49 0.5  0.47 0.43 0.52],[0.59 0.46 0.37 0.55 0.37],[0.54 0.48 0.42 0.49 0.44]
53,A heat treated medium sized allen key.,allen_wrench_4_3,0,[0 3 4 2 1],allen_wrench_4_3,"['allen_wrench_4_3' 'toothpaste_4_2' 'toothpaste_2_4' 'can_opener_3_4'
 'scissors_1_3']",[0.37 0.53 0.57 0.47 0.48],[0.36 0.49 0.46 0.52 0.43],[0.36 0.51 0.51 0.49 0.46],[0.46 0.7  0.69 0.47 0.49],[0.41 0.6  0.6  0.48 0.47]
54,a lightbulb,lightbulb_2_2,1,[1 4 0 3 2],stapler_3_2,['lightbulb_2_2' 'fork_3_4' 'stapler_3_2' 'water_bottle_3_3' 'mouse_3_3'],[0.43 0.63 0.45 0.53 0.48],[0.51 0.57 0.4  0.54 0.53],[0.47 0.6  0.43 0.54 0.5 ],[0.45 0.52 0.38 0.45 0.35],[0.46 0.56 0.4  0.49 0.43]
55,an allen wrench,allen_wrench_4_3,0,[0 3 2 1 4],allen_wrench_4_3,['allen_wrench_4_3' 'spoon_3_3' 'hammer_5_1' 'notebook_2_4' 'stapler_3_2'],[0.28 0.45 0.38 0.48 0.54],[0.34 0.53 0.53 0.33 0.45],[0.31 0.49 0.45 0.41 0.49],[0.49 0.54 0.33 0.37 0.36],[0.4  0.51 0.39 0.39 0.43]
56,"this is a larger lightbulb, slimmer in the center and then wider bulb shaping towards the end with a slight shade difference",lightbulb_2_2,3,[3 1 0 4 2],cap_1_2,['lightbulb_2_2' 'stapler_2_3' 'cap_1_2' 'hammer_2_4' 'spoon_3_3'],[0.46 0.38 0.38 0.6  0.47],[0.57 0.48 0.43 0.6  0.5 ],[0.52 0.43 0.4  0.6  0.48],[0.44 0.33 0.35 0.42 0.48],[0.48 0.38 0.38 0.51 0.48]
57,a black L shaped tool used for loosening or tightening objects,allen_wrench_4_3,1,[1 2 4 3 0],eye_glasses_2_1,"['allen_wrench_4_3' 'eye_glasses_4_2' 'potato_2_1' 'picture_frame_5_3'
 'eye_glasses_2_1']",[0.35 0.41 0.75 0.42 0.27],[0.46 0.43 0.64 0.45 0.41],[0.41 0.42 0.69 0.44 0.34],[0.42 0.34 0.52 0.34 0.31],[0.42 0.38 0.6  0.39 0.33]
58,this item is white and it is bulbous.,lightbulb_2_2,1,[1 3 2 4 0],band_aid_4_2,"['lightbulb_2_2' 'eye_glasses_4_2' 'band_aid_1_4' 'coffee_mug_1_1'
 'band_aid_4_2']",[0.39 0.53 0.46 0.53 0.39],[0.37 0.47 0.53 0.52 0.36],[0.38 0.5  0.49 0.52 0.38],[0.52 0.55 0.51 0.52 0.59],[0.45 0.53 0.5  0.52 0.48]
59,this item is very small and is shaped in an L formation.,allen_wrench_4_3,0,[0 1 3 4 2],allen_wrench_4_3,"['allen_wrench_4_3' 'measuring_tape_5_1' 'toothbrush_3_3'
 'picture_frame_4_2' 'water_bottle_2_3']",[0.38 0.44 0.48 0.53 0.46],[0.34 0.46 0.54 0.55 0.49],[0.36 0.45 0.51 0.54 0.47],[0.32 0.27 0.33 0.55 0.72],[0.34 0.36 0.42 0.54 0.6 ]
60,"A tin can, probably food related, turned to the side so the front label isn't visible. The label is light brown, resembling a wood cutting board with a large box of text on the back side.",food_can_3_3,0,[0 4 2 3 1],food_can_3_3,"['food_can_3_3' 'tissue_box_1_3' 'prescription_medicine_bottle_3_3'
 'can_opener_3_4' 'bell_pepper_2_2']",[0.27 0.43 0.39 0.41 0.35],[0.28 0.45 0.4  0.4  0.34],[0.28 0.44 0.39 0.4  0.35],[0.26 0.56 0.28 0.45 0.3 ],[0.27 0.5  0.34 0.43 0.33]
61,"A small prescription bottle. It's the typical kind of opaque orange color, with a while lable, black ink and white cap.",prescription_medicine_bottle_2_4,0,[0 4 1 2 3],prescription_medicine_bottle_2_4,"['prescription_medicine_bottle_2_4' 'plate_3_4' 'allen_wrench_4_3'
 'onion_4_4' 'banana_3_4']",[0.16 0.63 0.33 0.42 0.52],[0.19 0.62 0.32 0.48 0.46],[0.18 0.62 0.32 0.45 0.49],[0.35 0.52 0.32 0.4  0.38],[0.26 0.57 0.32 0.43 0.43]
62,This is a canned food product,food_can_3_3,0,[0 3 1 4 2],food_can_3_3,"['food_can_3_3' 'eye_glasses_1_2' 'medicine_bottle_4_2' 'pencil_2_1'
 'plate_3_4']",[0.23 0.53 0.34 0.49 0.51],[0.23 0.55 0.37 0.58 0.42],[0.23 0.54 0.36 0.54 0.46],[0.46 0.58 0.46 0.45 0.47],[0.34 0.56 0.41 0.5  0.47]
63,This is prescription pill bottle,prescription_medicine_bottle_2_4,0,[0 3 1 2 4],prescription_medicine_bottle_2_4,"['prescription_medicine_bottle_2_4' 'screwdriver_4_3'
 'medicine_bottle_5_2' 'band_aid_1_4' 'bell_pepper_4_3']",[0.1  0.58 0.34 0.24 0.5 ],[0.12 0.42 0.36 0.46 0.53],[0.11 0.5  0.35 0.35 0.51],[0.39 0.33 0.48 0.54 0.39],[0.25 0.42 0.41 0.45 0.45]
